label	about
Macroalgae stem density (kelps)	macroalgae/stem_density
Macroalgae plant size classes	macroalgae/size_classes
Macroalgae photosynthetic efficiency	macroalgae/photosynthetic_efficiency
Macroalgae photosynthetic biomass	macroalgae/photosynthetic_biomass
Macroalgae areal extent	macroalgae/areal_extent
Macroalgae genetic composition	macroalgae/genetic_composition
Macroalgae genetic composition - effective population size	macroalgae/genetic_composition/effective_population_size
Macroalgae genetic composition - genetic differentiation	macroalgae/genetic_composition/genetic_differentiation
Macroalgae genetic composition - genetic diversity	macroalgae/genetic_composition/genetic_diversity
Macroalgae genetic composition - inbreeding	macroalgae/genetic_composition/inbreeding
Macroalgae species traits	macroalgae/traits
Macroalgae species traits - morphology	macroalgae/traits/morphology
Macroalgae species traits - physiology	macroalgae/traits/physiology
Macroalgae species traits - phenology	macroalgae/traits/phenology
Macroalgae community composition	macroalgae/community_composition
Macroalgae community composition - community abundance	macroalgae/community_composition/abundance
Macroalgae community composition - taxonomic/phylogenetic diversity	macroalgae/community_composition/phylogenetic_diversity
Macroalgae community composition - trait diversity	macroalgae/community_composition/trait_diversity
Macroalgae ecosystem functioning	macroalgae/ecosystem_functioning
Macroalgae ecosystem functioning - primary productivity	macroalgae/ecosystem_functioning/primary_productivity
Macroalgae ecosystem functioning - ecosystem phenology	macroalgae/ecosystem_functioning/phenology
Macroalgae ecosystem functioning - ecosystem disturbances	macroalgae/ecosystem_functioning/ecosystem_disturbances
Macroalgae ecosystem structure	macroalgae/ecosystem_structure
Macroalgae ecosystem structure - live cover fraction	macroalgae/ecosystem_structure/live_cover_fraction
Macroalgae ecosystem structure - ecosystem distribution	macroalgae/ecosystem_structure/ecosystem_distribution
Macroalgae ecosystem structure - ecosystem vertical profile	macroalgae/ecosystem_structure/ecosystem_vertical_profile
Mangroves diversity	mangrove/diversity
Mangroves primary productivity	mangrove/primary_productivity
Mangroves canopy height	mangrove/canopy_height
Mangroves trunk girth	mangrove/trunk_girth
Mangroves composition	mangrove/composition
Mangroves zonation	mangrove/zonation
Mangroves fringe width	mangrove/fringe_width
Mangroves fringe area	mangrove/fringe_area
Mangroves density by species	mangrove/density
Mangroves soil profile	mangrove/soil_profile
Mangroves carbon/nutrient content	mangrove/carbon_nutrient_content
Mangroves 14C age	mangrove/14c_age
Mangroves sediment and water column respiration	mangrove/sediment_water_column_respiration
Mangroves intertidal fish and invertebrate densities	mangrove/intertidal_fish_invertebrates_density
Mangroves genetic composition	mangrove/genetic_composition
Mangroves genetic composition - effective population size	mangrove/genetic_composition/effective_population_size
Mangroves genetic composition - genetic differentiation	mangrove/genetic_composition/genetic_differentiation
Mangroves genetic composition - genetic diversity	mangrove/genetic_composition/genetic_diversity
Mangroves species traits	mangrove/traits
Mangroves species traits - morphology	mangrove/traits/morphology
Mangroves species traits - physiology	mangrove/traits/physiology
Mangroves species traits - phenology	mangrove/traits/phenology
Mangroves species traits - movement	mangrove/traits/movement
Mangroves community composition	mangrove/community_composition
Mangroves community composition - community abundance	mangrove/community_composition/abundance
Mangroves community composition - taxonomic/phylogenetic diversity	mangrove/community_composition/phylogenetic_diversity
Mangroves community composition - trait diversity	mangrove/community_composition/trait_diversity
Mangroves ecosystem functioning	mangrove/ecosystem_functioning
Mangroves ecosystem functioning - primary productivity	mangrove/ecosystem_functioning/primary_productivity
Mangroves ecosystem functioning - ecosystem phenology	mangrove/ecosystem_functioning/ecosystem_phenology
Mangroves ecosystem functioning - ecosystem disturbances	mangrove/ecosystem_functioning/ecosystem_disturbances
Mangroves ecosystem structure	mangrove/ecosystem_structure
Mangroves ecosystem structure - live cover fraction	mangrove/ecosystem_structure/live_cover_fraction
Mangroves ecosystem structure - ecosystem distribution	mangrove/ecosystem_structure/ecosystem_distribution
Mangroves ecosystem structure - ecosystem vertical profile	mangrove/ecosystem_structure/ecosystem_vertical_profile
Invertebrate distribution	invertebrates/distribution
Invertebrate abundance 	invertebrates/abundance
Invertebrate genetic composition	invertebrates/genetic_composition
Invertebrate genetic composition - effective population size	invertebrates/genetic_composition/effective_population_size
Invertebrate genetic composition - genetic differentiation	invertebrates/genetic_composition/genetic_differentiation
Invertebrate genetic composition - genetic diversity	invertebrates/genetic_composition/genetic_diversity
